StrainYY,StressYY,p,q,Volumetric_Strain
0,100,100,0,0
0.000288,103.89,96.92933333,10.441,0
0.00032832,104.37,96.49066667,11.819,0
0.00037429,104.89,95.98533333,13.357,0
0.00042669,105.45,95.40466667,15.068,0
0.00048642,106.07,94.74466667,16.988,0
0.00055451,106.74,93.99066667,19.124,0
0.00063216,107.44,93.12333333,21.475,0
0.00072066,108.18,92.134,24.069,0
0.00082155,108.92,90.998,26.883,0
0.00093656,109.66,89.70333333,29.935,0
0.0010677,110.36,88.228,33.198,0
0.00121715,110.99,86.55533333,36.652,0
0.00138755,111.48,84.66066667,40.229,0
0.0015818,111.79,82.538,43.878,0
0.0018033,111.85,80.18,47.505,0
0.0020557,111.6,77.59466667,51.008,0
0.0023435,110.97,74.802,54.252,0
0.0026716,109.93,71.84666667,57.125,0
0.00304565,108.5,68.79933333,59.551,0
0.003472,106.72,65.73933333,61.471,0
0.0039581,104.69,62.76266667,62.891,0
0.0045123,102.54,59.96133333,63.868,0
0.005144,100.45,57.42866667,64.532,0
0.0058641,98.572,55.23466667,65.006,0
0.0066851,97.071,53.43966667,65.447,0
0.007621,96.095,52.09233333,66.004,0
0.008688,95.781,51.23166667,66.824,0
0.0099043,96.254,50.89466667,68.039,0
0.011291,97.63725,51.11708333,69.78025,0
0.012872,100.05,51.93866667,72.167,0
0.014674,103.62,53.404,75.324,0
0.016728,108.49,55.56866667,79.382,0
0.01907,114.78,58.482,84.447,0
0.02174,122.65,62.21266667,90.656,0
0.024783,132.22,66.81933333,98.101,0
0.028253,143.63,72.36266667,106.901,0
0.032208,156.92,78.87,117.075,0
0.036717,172.06,86.32916667,128.5925,0
0.041858,188.91,94.68333333,141.34,0
0.047718,207.09,103.7546667,155.003,0
0.054398,226.04,113.2766667,169.145,0
0.06201425,242.9,122.2285833,181.007125,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
0.07069625,255.3575,129.0386667,189.47825,0
